id,Count,shape_x,shape_y,shape_z
mp-20998,1075200,80,80,168
mp-850956,896000,140,80,80
mp-1079437,276480,48,72,80
mp-1175344,860160,48,80,224
mp-2865,10077696,216,216,216
mp-1214542,3225600,96,120,280
mp-1111451,1259712,108,108,108
mp-1176207,1105920,48,120,192
mp-20450,967680,56,96,180
mp-2217094,537600,80,84,80
mp-6979,504000,60,60,140
mp-1175256,860160,48,80,224
mp-1224495,819200,80,80,128
mp-1044098,2949120,96,160,192
mp-1219259,580608,72,72,112
mp-1220330,458752,64,64,112
mp-1222082,737280,96,96,80
mp-1071337,884736,96,96,96
mp-1193515,1404928,112,112,112
mp-864620,512000,80,80,80
mp-1227602,1105920,80,128,108
mp-1215494,360000,60,60,100
mp-1232142,2332800,120,108,180
mp-560478,1741824,192,84,108
mp-915377,4128768,96,96,448
mp-1186011,216000,60,60,60
mp-759153,1835008,112,128,128
mp-1029828,2211840,96,128,180
mp-863431,1280000,160,80,100
mp-18860,663552,72,96,96
mp-1102569,580608,56,96,108
mp-559633,1000000,100,100,100
mp-676156,1259712,108,108,108
mp-1223797,884736,96,96,96
mp-12829,1024000,80,80,160
mp-1195661,6096384,168,168,216
mp-866807,884736,96,96,96
mp-1195761,2721600,108,140,180
mp-1048111,8000000,200,200,200
mp-4681,846720,84,84,120
mp-5571,4300800,160,160,168
mp-866059,373248,72,72,72
mp-29463,497664,72,72,96
mp-1206380,7077888,192,192,192
mp-5784,737280,80,96,96
mp-23004,1204224,96,112,112
mp-1219833,2985984,144,144,144
mp-1233717,1646400,84,140,140
mp-754962,960000,100,100,96
mp-30146,1290240,72,112,160
mp-984332,2097152,128,128,128
mp-1214218,2764800,160,160,108
mp-1218874,2048000,80,80,320
mp-553997,2419200,216,80,140
mp-1099110,800000,100,100,80
mp-1246174,4064256,144,168,168
mp-37153,884736,96,96,96
mp-2219075,5734400,160,160,224
mp-12570,512000,80,80,80
mp-758281,2903040,192,108,140
mp-8676,351232,56,56,112
mp-1209307,2822400,140,140,144
mp-1173950,460800,48,80,120
mp-1190919,967680,56,96,180
mp-2232721,800000,80,100,100
mp-715035,1966080,120,128,128
mp-1025366,388800,60,60,108
mp-1398042,752640,160,56,84
mp-17812,2150400,96,140,160
mp-777465,2744000,140,140,140
mp-1214917,3763200,280,80,168
mp-1223503,1474560,96,96,160
mp-754318,592704,84,84,84
mp-849086,387072,56,72,96
mp-555064,768000,80,96,100
mp-865869,216000,60,60,60
mp-1105923,1166400,108,100,108
mp-758663,1536000,96,100,160
mp-703297,987840,84,84,140
mp-1195763,4096000,160,160,160
mp-1194540,4199040,216,108,180
mp-1002568,737280,80,96,96
mp-722864,1080000,100,100,108
mp-1191822,1105920,80,108,128
mp-625108,1179648,128,96,96
mp-764815,1920000,80,80,300
mp-1190715,2016000,120,120,140
mp-1202580,3919104,84,216,216
mp-696961,1492992,72,96,216
mp-1348032,1075200,56,96,200
mp-760650,1536000,80,80,240
mp-26977,1411200,140,72,140
mp-684031,4096000,160,160,160
mp-1219919,870912,72,72,168
mp-1190805,1228800,80,120,128
mp-1093774,4096000,160,160,160
mp-1222516,501760,56,80,112
mp-1368992,737280,72,80,128
mp-8368,592704,84,84,84
mp-1078225,1440000,120,120,100
mp-625774,1612800,80,140,144
mp-1112932,2097152,128,128,128
mp-9397,1152000,60,120,160
mp-1225401,2097152,128,128,128
mp-1080042,460800,80,80,72
mp-560463,2985984,144,144,144
mp-1201708,4014080,128,160,196
mp-1189172,552960,48,72,160
mp-643371,1728000,120,120,120
mp-1212467,4741632,168,168,168
mp-22266,262144,64,64,64
mp-980061,774144,96,96,84
mp-1079601,699840,108,108,60
mp-2234126,884736,96,96,96
mp-1193360,1440000,100,100,144
mp-1246017,2160000,100,180,120
mp-697726,1105920,80,108,128
mp-1217408,102400,40,40,64
mp-1228254,3538944,96,96,384
mp-1037676,2097152,128,128,128
mp-1105728,2007040,160,112,112
mp-1212690,1728000,120,120,120
mp-1247086,691200,72,80,120
mp-1175757,1152000,120,120,80
mp-1227480,1404928,112,112,112
mp-36843,884736,96,96,96
mp-779127,4014080,160,112,224
mp-1184878,884736,96,96,96
mp-1209356,3317760,144,144,160
mp-1078750,653184,56,108,108
mp-1175422,1152000,80,120,120
mp-999392,512000,80,80,80
mp-493,216000,60,60,60
mp-1221992,3225600,280,72,160
mp-772668,983040,80,128,96
mp-1376082,1658880,96,96,180
mp-1221355,884736,96,96,96
mp-861955,512000,80,80,80
mp-2218892,691200,48,120,120
mp-1192975,1290240,96,96,140
mp-1201644,2580480,56,192,240
mp-1745,1756160,112,112,140
mp-560039,2177280,216,84,120
mp-752674,1966080,120,128,128
mp-1105833,1000000,100,100,100
mp-1204069,3951360,140,168,168
mp-558825,3072000,120,160,160
mp-545783,884736,96,96,96
mp-540199,2293760,128,128,140
mp-24488,1612800,96,120,140
mp-1043302,2257920,140,84,192
mp-770870,806400,80,84,120
mp-1185731,2744000,140,140,140
mp-1185027,512000,80,80,80
mp-1173984,768000,80,80,120
mp-780191,884736,96,96,96
mp-1047842,1105920,96,96,120
mp-607711,1354752,84,112,144
mp-1197512,2903040,120,144,168
mp-976072,884736,96,96,96
mp-1102424,967680,60,112,144
mp-1103807,1800000,100,100,180
mp-865159,512000,80,80,80
mp-19120,614400,80,80,96
mp-7788,1097600,140,140,56
mp-1205707,806400,120,120,56
mp-771890,1120000,100,80,140
mp-1245157,3386880,144,168,140
mp-1213114,1259712,108,108,108
mp-1185127,979776,108,108,84
mp-1221261,1792000,140,80,160
mp-4653,345600,60,60,96
mp-30975,1548288,112,96,144
mp-2225329,663552,96,72,96
mp-1239129,1806336,56,168,192
mp-1220473,1404928,112,112,112
mp-722516,806400,84,96,100
mp-1177646,2359296,128,128,144
mp-30746,175616,56,56,56
mp-8195,2688000,160,120,140
mp-505442,1327104,48,144,192
mp-1341052,846720,60,84,168
mp-961703,373248,72,72,72
